,Algorithm,u,n,d,rho,mean,cov,r,run,error
141,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,35,0.1512551071780613
142,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,35,0.18089816546880066
143,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,35,0.17988777735987307
144,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,36,0.17029586486304765
145,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,36,0.09553110323794241
146,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,36,0.1595446154318599
147,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,36,0.15800836578089314
148,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,37,0.15926797398418951
149,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,37,0.2669972172883048
150,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,37,0.17950696975693706
151,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,37,0.14919424329846334
152,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,38,0.2000367308384063
153,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,38,0.11554890363941304
154,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,38,0.18688690009276016
155,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,38,0.18162063228978506
156,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,39,0.19521315157999258
157,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,39,0.23517533029083063
158,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,39,0.20396799260880963
159,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,39,0.18294149955677194
160,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,40,0.3096183817246207
161,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,40,0.30825204957433106
162,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,40,0.3177899891483269
163,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,40,0.3218425106434289
164,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,41,0.34688796333825433
165,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,41,0.2035084711993514
166,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,41,0.32660821249483635
167,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,41,0.29944456784217216
168,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,42,0.38232217074047997
169,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,42,0.38301020529976854
170,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,42,0.4198107382368511
171,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,42,0.39784564996556937
172,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,43,0.10853171631725171
173,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,43,0.1691856854334638
174,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,43,0.1315151531320469
175,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,43,0.08829469995584013
176,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,44,0.16339066028229365
177,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,44,0.22979962946977886
178,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,44,0.17277825811761346
179,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,44,0.1912468344543046
180,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,45,0.22634321242796765
181,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,45,0.47306342843655164
182,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,45,0.2385972154701887
183,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,45,0.21294191676729587
184,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,46,0.12908204293445621
185,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,46,0.15497788315194366
186,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,46,0.1328758225651254
187,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,46,0.12694399775149842
188,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,47,0.12761552571984033
189,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,47,0.24572113134629103
190,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,47,0.12946617194778365
191,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,47,0.11305286870675205
192,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,48,0.10208071680945052
193,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,48,0.1624433510420244
194,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,48,0.11778742938082963
195,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,48,0.1320199007057057
196,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,49,0.09182854043522781
197,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,49,0.2585879529748931
198,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,49,0.3811706125527598
199,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,49,0.10646820349411444
0,PLAN,"(-3200.0, 3200.0)",10000,16,0.25,10,STRATEGY_ZIPF_SKEWED,2,0,0.3466569358022979
